Question,Réponse 1,Réponse 2,Réponse 3,Réponse 4,Réponse correcte,Niveau
Comment appelle-t-on le lundi après Pâques en Angleterre?,Lundi de Pâques,Easter Monday,Bank Holiday,Egg Rolling Day,Easter Monday,moyen
Quelle est la particularité des œufs de Pâques en Pologne?,Ils sont en bois,Ils sont peints à la main,Ils sont en chocolat,Ils sont bénis,Ils sont bénis,moyen
Quel est le nom de la pâtisserie en forme de colombe pour Pâques en Italie?,Colomba Pasquale,Panettone,Tiramisu,Cannoli,Colomba Pasquale,moyen
Quelle est la tradition de Pâques unique aux Philippines?,Jeûne,Pèlerinage,Flagellation,Chasse aux œufs,Flagellation,moyen
Quelle couleur est traditionnellement portée le dimanche de Pâques?,Noir,Rouge,Blanc,Vert,Blanc,moyen
Quel concile a établi la méthode de calcul de la date de Pâques?,Concile de Nicée,Concile de Trente,Concile de Chalcédoine,Concile de Constantinople,Concile de Nicée,difficile
Quelle est la racine étymologique du mot "Pâques" en hébreu?,Passover,Pasch,Pesah,Pascua,Pesah,difficile
Dans quel évangile ne trouve-t-on pas de récit de la Résurrection?,Marc,Luc,Jean,Matthieu,Marc,difficile
Quel empereur a décrété que Pâques devrait être célébré le dimanche?,Julius César,Néron,Constantin,Auguste,Constantin,difficile
Quelle tradition de Pâques est spécifique à l'île de Corfou en Grèce?,Sauter par-dessus des feux,Porter des croix,Jeter des pots d'eau,Chanter des hymnes,Jeter des pots d'eau,difficile
Quel pape a officiellement reconnu la fête de Pâques?,Grégoire le Grand,Pie V,Jean-Paul II,Benoît XVI,Grégoire le Grand,difficile
Quelle est la signification de l'œuf rouge à Pâques dans la tradition orthodoxe?,Renaissance,Joie,Esperance,Sang du Christ,Sang du Christ,difficile
Comment s'appelle la cérémonie de bénédiction des œufs de Pâques dans l'Église orthodoxe?,Bénédiction des œufs,La Liturgie Pascale,La Sainte Messe,Le Rite des Œufs,Bénédiction des œufs,difficile
Quel saint est célébré pour avoir apporté le christianisme en Irlande et est associé à Pâques?,Saint Patrick,Saint Brigid,Saint Kevin,Saint Columba,Saint Patrick,difficile
Quelle ville en Espagne est célèbre pour ses processions de la Semaine Sainte dramatiques et élaborées?,Malaga,Séville,Granada,Cordoue,Séville,difficile
Quel terme désigne le chant traditionnel chrétien de Pâques?,Kyrie,Gloria,Alleluia,Credo,Alleluia,difficile
Quelle est la durée de la Semaine Sainte?,6 jours,7 jours,8 jours,9 jours,7 jours,difficile
Dans quel livre de la Bible trouve-t-on le récit de la Crucifixion de Jésus?,Matthieu,Marc,Luc,Tous les précédents,Tous les précédents,difficile
Quel est le nom du dimanche de Pâques dans la tradition orthodoxe?,Pâques,La Résurrection,Le Grand Dimanche,La Pascha,La Pascha,difficile
Quel événement de la vie de Jésus est commémoré le Vendredi Saint?,Sa naissance,Sa résurrection,Sa crucifixion,Son baptême,Sa crucifixion,difficile
